,index,Name,Dates,Prices,Link,Filtered
99,128,PNY GeForce GTX 1050 Ti XLR8 Gaming OC 4GB GDDR5 128-Bit Video Graphics Card,2022-03-20,130.0,https://www.ebay.com/itm/115304102157?epid=14009503784&hash=item1ad8a8f90d:g:ghQAAOSwYM9iN1g4,False
100,129,EVGA GeForce GTX 1050 Ti SSC GAMING 4GB GDDR5 Graphics Card (04G-P4-6255-KB),2022-03-20,122.5,https://www.ebay.com/itm/255434721117?epid=631607182&hash=item3b7918875d:g:LJUAAOSw9zliLo-Z,False
101,130,PNY GeForce GTX 1050TI 4GB Graphics Card ,2022-03-20,149.0,https://www.ebay.com/itm/165388629076?hash=item2681ee3454:g:ATMAAOSwNlNiK9mA,False
102,131,ASUS GeForce GTX 1050 Ti 4GB GDDR5 Graphics Card,2022-03-20,129.0,https://www.ebay.com/itm/175208700682?epid=18036427347&hash=item28cb409b0a:g:e8EAAOSwMcxiN7CP,False
103,132,MSI NVIDIA GeForce GTX 1050 Ti 4GB OC,2022-03-20,137.5,https://www.ebay.com/itm/304396441918?epid=12021678942&hash=item46df71193e:g:ZGoAAOSwxWtiLnVW,False
104,133,"EVGA GeForce GTX 1050 Ti SC GAMING, 04G-P4-6253-KR, 4GB GDDR5, DX12",2022-03-20,142.0,https://www.ebay.com/itm/224884855513?hash=item345c2e92d9:g:1MwAAOSwIwdiLmJD,False
105,134,PNY NVIDIA GTX 1050ti XLR8 Gaming Graphics Card,2022-03-20,150.0,https://www.ebay.com/itm/353958229028?hash=item52698df424:g:C6sAAOSwczNiLePV,False
106,135,MSI NVIDIA GeForce GTX 1050 Ti 4GB GDDR5 Graphics Card,2022-03-20,145.0,https://www.ebay.com/itm/353958723544?epid=12021678942&hash=item5269957fd8:g:i0oAAOSwt9hiLlJT,False
107,136,MSI GeForce 4GB (GTX 1050 TI GAMING X 4G) Graphics Card,2022-03-20,140.0,https://www.ebay.com/itm/334363136684?epid=10021692240&hash=item4dd99892ac:g:9W4AAOSw8WZiLk1O,False
108,137,MSI NVIDIA GeForce GTX 1050 Ti 4GB GDDR5 Graphics Card,2022-03-20,120.0,https://www.ebay.com/itm/175198882662?epid=12021678942&hash=item28caaacb66:g:Y80AAOSwX55iLjSt,False
109,138,GIGABYTE GeForce GTX 1050 TI G1 Gaming 4gb Card,2022-03-20,155.78,https://www.ebay.com/itm/363764754884?epid=9026500098&hash=item54b211a9c4:g:7IUAAOSwsWtiMMzc,False
110,139,ZOTAC GeForce GTX 1050 TI OC Edition 4gb Gddr5,2022-03-20,112.5,https://www.ebay.com/itm/403538027983?hash=item5df4bda5cf:g:DScAAOSw205iJOrt,False
111,140,GIGABYTE GeForce GTX 1050 Ti 4GB GDDR5 Graphics Card (GVN105TD54GD),2022-03-20,164.5,https://www.ebay.com/itm/134052785776?epid=5026512636&hash=item1f362b2e70:g:Y44AAOSwSDtiLiIs,False
112,141,GTX 1050 ti 4gb OC. Very clean card.  Works Great.  Priced to sell.,2022-03-20,145.0,https://www.ebay.com/itm/224896318877?hash=item345cdd7d9d:g:reUAAOSwMWpiNzQr,False
114,144,"EVGA GeForce GTX 1050 TI SC Gaming (4GB, GDDR5 Graphics Card)",2022-03-19,131.0,https://www.ebay.com/itm/125198825658?epid=20003297363&hash=item1d266e78ba:g:rs0AAOSwROxiLY0J,False
115,146,MSI GeForce 4GB (GTX 1050 TI GAMING X 4G) Graphics Card,2022-03-19,152.5,https://www.ebay.com/itm/304396245594?hash=item46df6e1a5a:g:91AAAOSwNcxh4Zca,False
116,147,PNY GeForce GTX 1050 Ti OC 4GB GDDR5 Graphics Card,2022-03-19,155.5,https://www.ebay.com/itm/373974526822?hash=item57129e6b66:g:RE4AAOSwebJiHZ1H,False
117,148,Asus GeForce GTX 1050 Ti 4GB GDDR5 Video Graphics Card DUAL-GTX1050TI-O4G,2022-03-19,187.99,https://www.ebay.com/itm/175191669269?epid=5027250635&hash=item28ca3cba15:g:TYgAAOSwGoRiJ6wE,False
118,149,MSI NVIDIA GeForce GTX 1050 Ti 4GB GDDR5X Gaming Graphics Card (V335-001R),2022-03-19,150.0,https://www.ebay.com/itm/363761419854?epid=2111811957&hash=item54b1dec64e:g:WP0AAOSw6lZhlqTV,False
119,150,Nvidia EVGA Geforce GTX 1050 Ti Used Fully Tested,2022-03-19,132.5,https://www.ebay.com/itm/194911188184?hash=item2d619cb4d8:g:Q4IAAOSwNJZiGlGN,False
120,151,GIGABYTE GeForce GTX 1050 Ti OC 4GB GDDR5 - 128 Bit PCI-E (GV-N105TOC-4GD),2022-03-19,130.5,https://www.ebay.com/itm/165387659511?epid=4021689123&hash=item2681df68f7:g:sxQAAOSwqDdhrzix,False
121,152,"EVGA GeForce GTX 1050 TI SC Gaming (4GB, GDDR5 Graphics Card)",2022-03-19,133.5,https://www.ebay.com/itm/144459202252?epid=20003297363&hash=item21a2707ecc:g:k1YAAOSwgKtiLPTx,False
122,155,Gigabyte Geforce GTX 1050 Ti OC 4GB GDDR5 128 Bit PCI-E Graphic Card (GV-N105TOC,2022-03-19,148.5,https://www.ebay.com/itm/373974174818?epid=4021689123&hash=item5712990c62:g:CygAAOSwteZiLNNW,False
123,156,MSI NVIDIA GeForce GTX 1050 Ti 4GB GDDR5 Graphics Card,2022-03-19,126.0,https://www.ebay.com/itm/255432067614?epid=12021678942&hash=item3b78f00a1e:g:LNQAAOSwY8ViGwGo,False
124,157,MSI NVIDIA GeForce GTX 1050 Ti Gaming X 4GB GPU GDDR5X (V335-028) GENTLY USED!,2022-03-18,135.5,https://www.ebay.com/itm/304399566818?epid=2111811957&hash=item46dfa0c7e2:g:j~QAAOSwO3xiKB9h,False
