Name,Dates,Prices,Link
GIGABYTE GeForce GTX 1050 2GB Graphics Card. WORKS.,2022-03-24 00:00:00,140.0,https://www.ebay.com/itm/224900788372?epid=25026719829&hash=item345d21b094:g:EngAAOSw5IFiOrhm
EVGA 02G-P4-6157-Kr GeForce GTX 1050 FTW Gaming 2 GB GDDR5 ACX 3.0,2022-03-24 00:00:00,119.0,https://www.ebay.com/itm/304343287528?epid=19032163836&hash=item46dc4606e8:g:YjUAAOSwVg1h-x9~
MSI NVIDIA GeForce GTX 1050 TI 4GB GDDR5 Graphics Card,2022-03-24 00:00:00,180.0,https://www.ebay.com/itm/175212786738?hash=item28cb7ef432:g:f7MAAOSwNs5iO~2v
GIGABYTE GeForce GTX 1050 TI Windforce OC 4GB GDDR5 Graphics Card,2022-03-24 00:00:00,180.0,https://www.ebay.com/itm/194875773202?epid=18032167986&hash=item2d5f805112:g:pCoAAOSw0GNiGmne
GIGABYTE GeForce GTX 1050 TI Windforce OC 4GB GDDR5 Graphics Card,2022-03-24 00:00:00,180.0,https://www.ebay.com/itm/175212788762?epid=18032167986&hash=item28cb7efc1a:g:ia8AAOSwABRiO~8i
MSI Gaming GeForce GTX 1050 Ti 4GB GDDR5 PCI Express 3.0 x16 ATX Video Card GTX,2022-03-24 00:00:00,198.99,https://www.ebay.com/itm/144462000893?epid=10021692240&hash=item21a29b32fd:g:WbcAAOSwQC9iL-3N
MSI GeForce GTX 1050 Ti 4GB GDDR5 Graphics Card (GTX1050TI4GTOC),2022-03-24 00:00:00,150.0,https://www.ebay.com/itm/313927179119?epid=22025879252&hash=item4917849b6f:g:9SwAAOSwVCliLCsY
graphics/video cards 1050 ti,2022-03-24 00:00:00,120.0,https://www.ebay.com/itm/353971816863?hash=item526a5d499f:g:TqMAAOSw7yViOgXy
Asus GeForce GTX 1050 Ti 4GB GDDR5 Video Graphics Card DUAL-GTX1050TI-O4G,2022-03-23 00:00:00,169.99,https://www.ebay.com/itm/175208570695?epid=5027250635&hash=item28cb3e9f47:g:TYgAAOSwGoRiJ6wE
ASUS GeForce GTX 1050 Ti 4GB GDDR5 Graphics Card (PHGTX1050TI4G),2022-03-23 00:00:00,150.0,https://www.ebay.com/itm/185350460112?epid=18036427347&hash=item2b27bf92d0:g:W~sAAOSwX8ZiLp6j
GIGABYTE GTX 1050 Ti OC 4GB GDDR5 Graphics Card (GV-N105TOC-4GD),2022-03-23 00:00:00,123.5,https://www.ebay.com/itm/384784654758?epid=26037356601&hash=item5996f3e1a6:g:S9EAAOSwWdZhIhJs
Nvidia GeForce GTX 1050DE ZE9007 HF 2GB GDDR5 Graphics Card,2022-03-23 00:00:00,81.0,https://www.ebay.com/itm/403543827271?hash=item5df5162347:g:Mx4AAOSwKH1iMW22
"EVGA GeForce GTX 1050 TI Gaming (4GB, GDDR5 Graphics Card)",2022-03-23 00:00:00,145.0,https://www.ebay.com/itm/224900468906?epid=20003297363&hash=item345d1cd0aa:g:YhgAAOSw0qRiOmP0
"EVGA GeForce GTX 1050 TI SC Gaming (4GB, GDDR5 Graphics Card)",2022-03-23 00:00:00,132.5,https://www.ebay.com/itm/393990043466?epid=20003297363&hash=item5bbba2f74a:g:RKAAAOSwYyxiMm~I
MSI GTX1050Ti4GTLP NVIDIA GeForce GTX 1050Ti 4GB GDDR5 Graphics Card,2022-03-23 00:00:00,142.5,https://www.ebay.com/itm/403545664775?epid=20032166712&hash=item5df5322d07:g:4OIAAOSwOPZiFDKW
NVIDIA GeForce GTX 1050 TI 4GB GDDR5 Graphics Card EXCELLENT! Free Shipping,2022-03-23 00:00:00,155.0,https://www.ebay.com/itm/144474411324?hash=item21a358913c:g:CJ8AAOSwDXliO39f
"EVGA GeForce GTX 1050 TI SC Gaming (4GB, GDDR5 Graphics Card) open box",2022-03-23 00:00:00,160.0,https://www.ebay.com/itm/224893796902?epid=20003297363&hash=item345cb70226:g:q2MAAOSwteZiNPEK
